1120
# Paramgroup(pg={'basic': {'substrate:max': [2, 4, 6, 8], 'general:output_frequency': [1000000], 'general:runtime': [20], 'species2:adsorbable': [True, False], 'general:init_f': [0.01, 0.16666666666666663, 0.3233333333333333, 0.48, 0.6366666666666666, 0.7933333333333333, 0.95], 'species2:mu': [22.05]}, 'cost': {'species2:mu': [19.6, 21.233333333333334, 22.866666666666664, 24.5], 'general:output_frequency': [1000000], 'general:runtime': [20], 'species2:adsorbable': [True, False], 'general:init_f': [0.01, 0.16666666666666663, 0.3233333333333333, 0.48, 0.6366666666666666, 0.7933333333333333, 0.95], 'substrate:max': [6]}}, rep={'basic': 10, 'cost': 10})
general:run,general:group,general:set,general:init_f,general:output_frequency,general:runtime,species2:adsorbable,species2:mu,substrate:max,general:seed
89,basic,33,0.6366666666666666,1000000,20,True,22.05,2,56878238
90,basic,34,0.6366666666666666,1000000,20,True,22.05,4,43601325
91,basic,35,0.6366666666666666,1000000,20,True,22.05,6,6330680
92,basic,36,0.6366666666666666,1000000,20,True,22.05,8,44492875
93,basic,37,0.6366666666666666,1000000,20,False,22.05,2,27942760
94,basic,38,0.6366666666666666,1000000,20,False,22.05,4,15149370
95,basic,39,0.6366666666666666,1000000,20,False,22.05,6,36680519
96,basic,40,0.6366666666666666,1000000,20,False,22.05,8,37315367
97,basic,41,0.7933333333333333,1000000,20,True,22.05,2,72613349
98,basic,42,0.7933333333333333,1000000,20,True,22.05,4,25020607
99,basic,43,0.7933333333333333,1000000,20,True,22.05,6,12469525
100,basic,44,0.7933333333333333,1000000,20,True,22.05,8,20332584
101,basic,45,0.7933333333333333,1000000,20,False,22.05,2,24966533
102,basic,46,0.7933333333333333,1000000,20,False,22.05,4,81078778
103,basic,47,0.7933333333333333,1000000,20,False,22.05,6,78387524
104,basic,48,0.7933333333333333,1000000,20,False,22.05,8,76378229
105,basic,49,0.95,1000000,20,True,22.05,2,83618960
106,basic,50,0.95,1000000,20,True,22.05,4,42428483
107,basic,51,0.95,1000000,20,True,22.05,6,28800836
108,basic,52,0.95,1000000,20,True,22.05,8,59044299
109,basic,53,0.95,1000000,20,False,22.05,2,49000017
110,basic,54,0.95,1000000,20,False,22.05,4,16704632
111,basic,55,0.95,1000000,20,False,22.05,6,48924680
112,basic,56,0.95,1000000,20,False,22.05,8,90769255
113,basic,1,0.01,1000000,20,True,22.05,2,54338597
114,basic,2,0.01,1000000,20,True,22.05,4,60687345
115,basic,3,0.01,1000000,20,True,22.05,6,74453765
116,basic,4,0.01,1000000,20,True,22.05,8,46400497
117,basic,5,0.01,1000000,20,False,22.05,2,48531304
118,basic,6,0.01,1000000,20,False,22.05,4,94480003
119,basic,7,0.01,1000000,20,False,22.05,6,47376754
120,basic,8,0.01,1000000,20,False,22.05,8,23046789
121,basic,9,0.16666666666666663,1000000,20,True,22.05,2,34489498
122,basic,10,0.16666666666666663,1000000,20,True,22.05,4,53492525
123,basic,11,0.16666666666666663,1000000,20,True,22.05,6,87212555
124,basic,12,0.16666666666666663,1000000,20,True,22.05,8,99547205
125,basic,13,0.16666666666666663,1000000,20,False,22.05,2,49416097
126,basic,14,0.16666666666666663,1000000,20,False,22.05,4,45119981
127,basic,15,0.16666666666666663,1000000,20,False,22.05,6,44041193
128,basic,16,0.16666666666666663,1000000,20,False,22.05,8,51837504
129,basic,17,0.3233333333333333,1000000,20,True,22.05,2,19207498
130,basic,18,0.3233333333333333,1000000,20,True,22.05,4,77274799
131,basic,19,0.3233333333333333,1000000,20,True,22.05,6,32629379
132,basic,20,0.3233333333333333,1000000,20,True,22.05,8,80986480
133,basic,21,0.3233333333333333,1000000,20,False,22.05,2,66256595
134,basic,22,0.3233333333333333,1000000,20,False,22.05,4,71559699
135,basic,23,0.3233333333333333,1000000,20,False,22.05,6,70087397
136,basic,24,0.3233333333333333,1000000,20,False,22.05,8,18739712
137,basic,25,0.48,1000000,20,True,22.05,2,10115847
138,basic,26,0.48,1000000,20,True,22.05,4,620274
139,basic,27,0.48,1000000,20,True,22.05,6,84361747
140,basic,28,0.48,1000000,20,True,22.05,8,47584795
141,basic,29,0.48,1000000,20,False,22.05,2,67635492
142,basic,30,0.48,1000000,20,False,22.05,4,10446093
143,basic,31,0.48,1000000,20,False,22.05,6,51192552
144,basic,32,0.48,1000000,20,False,22.05,8,59263598
145,basic,33,0.6366666666666666,1000000,20,True,22.05,2,37356440
146,basic,34,0.6366666666666666,1000000,20,True,22.05,4,96192041
147,basic,35,0.6366666666666666,1000000,20,True,22.05,6,85881225
148,basic,36,0.6366666666666666,1000000,20,True,22.05,8,74602793
149,basic,37,0.6366666666666666,1000000,20,False,22.05,2,87677892
150,basic,38,0.6366666666666666,1000000,20,False,22.05,4,87377344
151,basic,39,0.6366666666666666,1000000,20,False,22.05,6,72347532
152,basic,40,0.6366666666666666,1000000,20,False,22.05,8,2130811
153,basic,41,0.7933333333333333,1000000,20,True,22.05,2,44339347
154,basic,42,0.7933333333333333,1000000,20,True,22.05,4,70906141
155,basic,43,0.7933333333333333,1000000,20,True,22.05,6,54757564
156,basic,44,0.7933333333333333,1000000,20,True,22.05,8,46131858
157,basic,45,0.7933333333333333,1000000,20,False,22.05,2,86724484
158,basic,46,0.7933333333333333,1000000,20,False,22.05,4,13126824
159,basic,47,0.7933333333333333,1000000,20,False,22.05,6,2671515
160,basic,48,0.7933333333333333,1000000,20,False,22.05,8,91217504
161,basic,49,0.95,1000000,20,True,22.05,2,4054725
162,basic,50,0.95,1000000,20,True,22.05,4,34286502
163,basic,51,0.95,1000000,20,True,22.05,6,33513335
164,basic,52,0.95,1000000,20,True,22.05,8,71640667
165,basic,53,0.95,1000000,20,False,22.05,2,79899340
166,basic,54,0.95,1000000,20,False,22.05,4,76780405
167,basic,55,0.95,1000000,20,False,22.05,6,27932492
168,basic,56,0.95,1000000,20,False,22.05,8,54351332
169,basic,1,0.01,1000000,20,True,22.05,2,2796923
170,basic,2,0.01,1000000,20,True,22.05,4,67359047
171,basic,3,0.01,1000000,20,True,22.05,6,41127441
172,basic,4,0.01,1000000,20,True,22.05,8,78007318
173,basic,5,0.01,1000000,20,False,22.05,2,65334408
174,basic,6,0.01,1000000,20,False,22.05,4,85300192
175,basic,7,0.01,1000000,20,False,22.05,6,64147675
176,basic,8,0.01,1000000,20,False,22.05,8,20795463
177,basic,9,0.16666666666666663,1000000,20,True,22.05,2,49686673
178,basic,10,0.16666666666666663,1000000,20,True,22.05,4,39663765
179,basic,11,0.16666666666666663,1000000,20,True,22.05,6,25173180
180,basic,12,0.16666666666666663,1000000,20,True,22.05,8,78486542
181,basic,13,0.16666666666666663,1000000,20,False,22.05,2,23647323
182,basic,14,0.16666666666666663,1000000,20,False,22.05,4,86091996
183,basic,15,0.16666666666666663,1000000,20,False,22.05,6,68189212
184,basic,16,0.16666666666666663,1000000,20,False,22.05,8,51340194
185,basic,17,0.3233333333333333,1000000,20,True,22.05,2,52931676
186,basic,18,0.3233333333333333,1000000,20,True,22.05,4,58972343
187,basic,19,0.3233333333333333,1000000,20,True,22.05,6,99408020
188,basic,20,0.3233333333333333,1000000,20,True,22.05,8,98051868
189,basic,21,0.3233333333333333,1000000,20,False,22.05,2,60761500
